file,DATE-OBS,NAXIS1,NAXIS2,DATA-TYP,EXPTIME,AIRMASS,OBJECT
FCSA00141569.fits,2013-06-06,1104,4241,DOMEFLAT,3.0,1.0,DOMEFLAT
FCSA00141570.fits,2013-06-06,1104,4241,DOMEFLAT,3.0,1.0,DOMEFLAT
FCSA00141571.fits,2013-06-06,1104,4241,DOMEFLAT,3.0,1.0,DOMEFLAT
FCSA00141572.fits,2013-06-06,1104,4241,DOMEFLAT,3.0,1.0,DOMEFLAT
FCSA00141573.fits,2013-06-06,1104,4241,DOMEFLAT,3.0,1.0,DOMEFLAT
FCSA00141574.fits,2013-06-06,1104,4241,DOMEFLAT,3.0,1.0,DOMEFLAT
FCSA00141575.fits,2013-06-06,1104,4241,DOMEFLAT,3.0,1.0,DOMEFLAT
FCSA00141576.fits,2013-06-06,1104,4241,DOMEFLAT,3.0,1.0,DOMEFLAT
FCSA00141577.fits,2013-06-06,1104,4241,DOMEFLAT,3.0,1.0,DOMEFLAT
FCSA00141578.fits,2013-06-06,1104,4241,DOMEFLAT,3.0,1.0,DOMEFLAT
FCSA00141579.fits,2013-06-06,1104,4241,COMPARISON,1.0,1.0,COMPARISON
FCSA00141580.fits,2013-06-06,1104,4241,COMPARISON,1.0,1.0,COMPARISON
FCSA00141781.fits,2013-06-07,1104,4241,DOMEFLAT,2.5,1.0,DOMEFLAT
FCSA00141782.fits,2013-06-07,1104,4241,DOMEFLAT,2.5,1.0,DOMEFLAT
FCSA00141783.fits,2013-06-07,1104,4241,DOMEFLAT,2.0,1.0,DOMEFLAT
FCSA00141784.fits,2013-06-07,1104,4241,DOMEFLAT,2.0,1.0,DOMEFLAT
FCSA00141785.fits,2013-06-07,1104,4241,DOMEFLAT,2.0,1.0,DOMEFLAT
FCSA00141786.fits,2013-06-07,1104,4241,DOMEFLAT,2.0,1.0,DOMEFLAT
FCSA00141787.fits,2013-06-07,1104,4241,DOMEFLAT,2.0,1.0,DOMEFLAT
FCSA00141788.fits,2013-06-07,1104,4241,DOMEFLAT,2.0,1.0,DOMEFLAT
FCSA00141789.fits,2013-06-07,1104,4241,DOMEFLAT,2.0,1.0,DOMEFLAT
FCSA00141790.fits,2013-06-07,1104,4241,DOMEFLAT,2.0,1.0,DOMEFLAT
FCSA00141791.fits,2013-06-07,1104,4241,DOMEFLAT,2.0,1.0,DOMEFLAT
FCSA00141792.fits,2013-06-07,1104,4241,DOMEFLAT,2.0,1.0,DOMEFLAT
FCSA00141793.fits,2013-06-07,1104,4241,DOMEFLAT,3.0,1.0,DOMEFLAT
FCSA00141794.fits,2013-06-07,1104,4241,DOMEFLAT,3.0,1.0,DOMEFLAT
FCSA00141795.fits,2013-06-07,1104,4241,DOMEFLAT,3.0,1.0,DOMEFLAT
FCSA00141796.fits,2013-06-07,1104,4241,DOMEFLAT,3.0,1.0,DOMEFLAT
FCSA00141797.fits,2013-06-07,1104,4241,DOMEFLAT,3.0,1.0,DOMEFLAT
FCSA00141798.fits,2013-06-07,1104,4241,DOMEFLAT,3.0,1.0,DOMEFLAT
FCSA00141799.fits,2013-06-07,1104,4241,DOMEFLAT,3.0,1.0,DOMEFLAT
FCSA00141800.fits,2013-06-07,1104,4241,DOMEFLAT,3.0,1.0,DOMEFLAT
FCSA00141801.fits,2013-06-07,1104,4241,DOMEFLAT,3.0,1.0,DOMEFLAT
FCSA00141802.fits,2013-06-07,1104,4241,DOMEFLAT,3.0,1.0,DOMEFLAT
FCSA00141835.fits,2013-06-07,1104,4241,COMPARISON,1.0,1.0,COMPARISON
FCSA00141836.fits,2013-06-07,1104,4241,COMPARISON,1.0,1.0,COMPARISON
FCSA00141837.fits,2013-06-07,1104,4241,COMPARISON,1.0,1.0,COMPARISON
FCSA00141838.fits,2013-06-07,1104,4241,COMPARISON,1.0,1.0,COMPARISON
